time,test 1,test 2,test 3,test 4,test 5
seconds,deacceleration - g,deacceleration - g,deacceleration - g,deacceleration - g,deacceleration - g
-0.015,0.94589,0.74398,0.66462,0.60441,0.60283
-0.014,0.93465,1.0311,0.67585,0.62408,0.61532
-0.013,0.87223,0.90316,0.6796,0.7355,0.62281
-0.012,0.87847,0.72057,0.70207,0.29198,0.64528
-0.011,0.92342,0.67531,0.81069,-0.28482,0.78262
-0.01,0.9796,0.71277,0.61031,0.48643,0.23328
-0.009,1.0221,0.77207,-0.5358,1.3582,-0.47086
-0.008,1.037,0.80328,-0.32231,0.84256,0.12092
-0.007,1.027,0.82513,0.84627,0.24391,1.0773
-0.006,1.0308,0.86415,1.4905,0.47332,1.5017
-0.005,1.0832,0.93437,1.3669,1.0239,1.1846
-0.004,1.1706,0.99992,1.0635,1.2184,0.74267
-0.003,1.2256,1.0327,0.94553,1.0807,0.69522
-0.002,1.2455,1.0608,1.0429,1.0086,0.91995
-0.001,1.2867,1.1076,1.2115,1.0829,1.2221
1.39E-17,1.3629,1.1466,1.3369,1.3101,1.3969
0.001,1.4965,1.1825,1.4025,1.4958,1.3569
0.002,1.64,1.2668,1.438,1.5701,1.1746
0.003,1.8061,1.3916,1.4961,1.6422,1.3694
0.004,2.052,1.5212,1.5991,1.699,1.8214
0.005,2.328,1.6679,1.7171,1.7842,1.9862
0.006,2.5889,1.8426,1.8781,1.9481,1.8588
0.007,2.8336,2.0237,2.0804,2.1273,1.8638
0.008,3.0458,2.1985,2.2621,2.2736,1.9512
0.009,3.1819,2.353,2.4081,2.3829,2.1035
0.01,3.3143,2.5028,2.5617,2.4965,2.4381
0.011,3.504,2.6698,2.7452,2.6385,2.7203
0.012,3.7487,2.8711,2.955,2.8351,2.9025
0.013,3.966,3.0646,3.1684,3.0296,3.0399
0.014,4.1121,3.2706,3.3501,3.2088,3.1922
0.015,4.2331,3.5219,3.4962,3.3857,3.3795
0.016,4.3667,3.7591,3.6235,3.5998,3.5892
0.017,4.5577,3.9245,3.7621,3.8598,3.8239
0.018,4.7962,4.0509,3.9232,4.1351,4.0636
0.019,5.0235,4.2382,4.1722,4.3711,4.3133
0.02,5.2482,4.4816,4.4831,4.5568,4.5256
0.021,5.5253,4.7391,4.882,4.7884,4.7478
0.022,5.8387,4.9779,5.3708,5.197,5.1348
0.023,6.1296,5.2167,5.8333,5.7038,5.7166
0.024,6.433,5.5179,6.133,6.143,6.3334
0.025,6.6502,5.8971,6.3483,6.4554,6.7903
0.026,6.6677,6.2561,6.5731,6.7526,7.05
0.027,6.619,6.5214,6.8671,7.1371,7.2972
0.028,6.9299,6.743,7.236,7.5479,7.6493
0.029,7.8151,6.9537,7.56,7.9259,8.0463
0.03,8.8338,7.2595,7.8091,8.3257,8.4558
0.031,9.5991,7.7808,8.1256,8.7998,8.8029
0.032,10.263,8.3644,8.6368,9.2783,9.1225
0.033,11.207,8.778,9.3503,9.6497,9.4995
0.034,12.753,8.9762,10.174,10.159,10.004
0.035,15.179,9.2868,11.105,11.05,10.895
0.036,18.472,10.211,12.307,12.392,12.214
0.037,22.07,11.904,13.931,14.039,13.794
0.038,24.842,14.036,15.897,15.933,15.535
0.039,25.978,16.389,17.918,17.928,17.522
0.04,24.98,18.686,19.941,19.669,19.472
0.041,22.65,20.729,21.868,20.993,20.923
0.042,21.374,22.557,23.463,22.167,22.017
0.043,22.48,24.175,24.531,23.004,22.751
0.044,25.243,25.364,24.344,22.573,22.514
0.045,26.712,25.72,22.334,21.153,21.008
0.046,23.978,24.682,19.135,19.025,18.856
0.047,17.723,22.112,15.95,16.165,16.486
0.048,13.606,18.981,13.938,13.576,14.256
0.049,13.325,15.986,13.691,11.738,12.546
0.05,14.171,14.307,14.626,11.374,12.066
0.051,14.592,15.191,16.141,13.421,13.402
0.052,16.128,17.958,18.568,18.394,16.781
0.053,20.735,20.309,22.375,25.123,22.319
0.054,26.59,21.469,26.381,31.546,29.231
0.055,30.216,21.096,28.404,34.251,33.953
0.056,30.453,19.835,28.533,32.471,33.531
0.057,29.944,18.482,28.138,29.292,30.077
0.058,31.392,18.846,29.001,29.416,28.489
0.059,33.617,21.087,30.32,33.701,31.52
0.06,34.007,24.024,29.698,37.358,36.609
0.061,31.971,27.262,27.035,35.993,39.209
0.062,28.474,30.154,24.583,29.98,36.45
0.063,24.896,31.543,25.036,23.943,29.7
0.064,22.996,32.838,28.701,23.054,24.561
0.065,22.61,35.974,33.93,26.585,25.255
0.066,21.657,38.717,37.614,30.871,28.826
0.067,18.933,37.542,37.743,33.393,31.243
0.068,15.306,32.679,33.159,33.039,31.738
0.069,12.185,27.023,25.815,28.332,29.276
0.07,10.707,22.947,19.16,21.264,23.67
0.071,10.513,20.27,16.028,15.37,17.472
0.072,9.0336,17.594,15.989,12.888,13.27
0.073,5.5103,14.541,16.678,13.357,11.372
0.074,2.0995,11.838,16.298,15.324,11.922
0.075,0.20554,10.232,13.918,15.951,14.079
0.076,-0.72458,8.9263,10.064,13.274,14.229
0.077,-2.0218,5.8378,4.3857,8.3344,11.06
0.078,-4.3764,0.25083,-2.5415,2.0552,5.7741
0.079,-6.6799,-5.2987,-8.4518,-4.471,-0.36849
0.08,-7.9271,-8.0047,-11.682,-9.5835,-6.1839
0.081,-9.263,-7.3477,-12.527,-12.99,-11.038
0.082,-11.239,-5.4719,-12.508,-15.205,-14.996
0.083,-13.051,-4.9959,-12.287,-16.287,-17.727
0.084,-13.287,-6.4941,-11.589,-16.011,-19.116
0.085,-10.704,-8.2544,-11.216,-14.355,-18.482
0.086,-6.6649,-9.2189,-12.205,-12.747,-15.558
0.087,-3.3039,-10.662,-13.621,-12.406,-12.791
0.088,-0.27013,-12.613,-13.478,-13.064,-12.329
0.089,3.0009,-13.383,-10.744,-13.138,-13.126
0.09,5.8587,-12.04,-6.9349,-10.943,-12.836
0.091,7.3531,-8.9879,-3.4947,-6.1817,-9.7921
0.092,7.1696,-4.9631,-1.0339,-0.18213,-3.9741
0.093,6.1146,-0.46861,0.65338,4.843,2.8501
0.094,4.961,3.3611,2.4849,7.3512,8.3858
0.095,3.6114,5.07,4.4662,7.2442,11.025
0.096,2.338,5.5335,5.4195,5.7257,9.5394
0.097,1.8098,6.6571,5.6498,4.6136,5.422
0.098,1.7949,8.263,6.2191,4.9304,3.0598
0.099,1.7824,8.9497,6.8689,5.9376,3.8814
0.1,1.5514,7.9446,6.3352,5.9267,5.5019
0.101,1.0221,5.7535,3.9063,3.9581,5.1223
0.102,0.10691,3.2425,0.44176,0.52139,2.141
0.103,-1.1266,1.234,-2.3598,-2.8826,-1.9116
0.104,-1.9468,0.10725,-3.5378,-5.1199,-4.7582
0.105,-2.1366,-0.73391,-3.5116,-5.5853,-5.9142
0.106,-2.3901,-1.2832,-2.7325,-5.0827,-5.5921
0.107,-2.9344,-1.1756,-1.9965,-4.3858,-4.7207
0.108,-3.3414,-0.58566,-1.9291,-3.3349,-4.5484
0.109,-3.3464,-0.56069,-1.4722,-1.1435,-4.2762
0.11,-2.9968,-1.1537,-0.017055,1.6772,-2.2212
0.111,-2.4238,-1.458,1.2658,3.0187,0.80759
0.112,-1.9693,-1.5844,0.96613,1.8061,2.6478
0.113,-1.9781,-2.719,-0.42156,-0.55137,2.0885
0.114,-1.8008,-4.5075,-1.8654,-2.1201,-0.14376
0.115,-1.1291,-5.372,-3.8824,-2.8127,-1.994
0.116,-0.81947,-4.7525,-6.0809,-4.0974,-3.0178
0.117,-1.3276,-3.735,-6.257,-5.7906,-4.3986
0.118,-1.9144,-3.2371,-4.0958,-6.0091,-5.8393
0.119,-2.1541,-2.6769,-1.5003,-3.9859,-5.9617
0.12,-2.2552,-1.6796,-0.2268,-1.504,-4.2438
0.121,-2.3501,-0.66056,-0.093837,-0.41373,-1.7268
0.122,-2.4138,-0.40463,0.3912,0.064754,0.50046
0.123,-2.4787,-1.2302,1.4306,0.75298,1.9787
0.124,-2.4063,-2.6004,1.3238,0.88844,1.8538
0.125,-1.8045,-3.4182,-0.42156,-0.0073454,0.468
0.126,-0.55978,-3.4088,-2.6913,-1.2811,-0.9328
0.127,0.95588,-3.0124,-4.3637,-2.2009,-1.8042
0.128,2.1232,-2.6613,-4.8805,-2.8586,-2.4535
0.129,2.8611,-2.1572,-4.3674,-3.0792,-2.4934
0.13,3.2781,-1.1428,-3.137,-2.7515,-1.9441
